anchor,memberships,category,cluster,rgb_permutation,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
core:nova,core:nova,core,1,210,1.4134759024,-2.73252229588,0.291642120467,-1.22501303125,0.803512076453,0.382487560017,0.337186115468,-0.202372793781,0.348352832479,-0.660161787683,0.0724012523277,0.44810039858
core:swirls,core:swirls,core,1,210,0.141595720732,-2.58788742681,0.169754233003,-1.0378980589,0.85216842789,0.397751985689,0.236967130673,-0.432943142407,0.48612300918,-1.12238286945,0.186636721015,0.449635975738
core:cells,core:cells;curated:027;shared:027,core,1,012,2.54084272191,-2.42351635525,-0.177165224259,-0.00684938599054,-0.260317979669,0.558640373605,0.161177077921,-0.0699032385173,0.271401568251,0.288731792386,-0.20427787047,0.0525089854899
core:toxic-goo,core:toxic-goo;curated:025;shared:025,core,1,021,1.98479995648,-1.38692151275,1.75757700729,0.724270431945,2.22658352459,0.381273344368,0.848736746839,0.689708763001,0.00380159263353,0.370179695736,-0.101209888612,0.0395386158469
core:fire,core:fire,core,1,021,0.19251319117,-1.77544576317,1.45752328629,-1.73555644644,-0.355292792875,0.287248050604,0.678277715617,0.0765377541232,0.156284092933,0.585427701458,-0.0195092980927,0.367291916706
core:undulating,core:undulating;curated:024;shared:024,core,2,210,-19.0392434902,0.681460265242,-0.614934911539,0.597078890408,0.659483879596,0.927301013122,0.433527139044,-0.891232543002,0.402745444174,0.111845504229,-0.356725943587,-0.0356511845121
core:cross-fractal,core:cross-fractal;curated:023;shared:023,core,1,021,1.69151990902,-2.22610415196,0.904879821704,-1.57324002527,0.514805430757,0.151259386209,-0.159897204964,-0.262931086969,0.360027683607,0.132892135842,-0.0335296642093,-0.0239316739775
curated:001,curated:001;shared:001,curated,1,021,2.34646803719,-1.30115776241,1.54116954014,1.29385251067,1.805055585,0.454730337873,0.745184377573,0.600317167951,0.0250938776557,0.390893320056,-0.128911335152,0.00491574034578
curated:002,curated:002;shared:002,curated,1,021,-0.150256833205,-1.1965194905,2.16476951241,-1.26914010511,-0.255566513169,0.251547351894,0.885278025221,0.208344090372,0.0745878232118,0.72465152753,0.00756511611069,0.327977174058
curated:003,curated:003;shared:003,curated,2,210,-18.7600149637,0.555234679811,-0.616832800183,0.600100973126,0.643374925517,0.389810740857,0.493412465023,-0.782976988199,0.451134237183,0.062881499,-0.368244589128,-0.00994592821547
